example_id,source_split,question_type,project_domain,profile_id_or_name,answer,old_technical_depth,old_personal_contribution,old_clarity,old_problem_solving,old_impact,old_role_relevance,new_technical_depth,new_personal_contribution,new_clarity,new_problem_solving,new_impact,new_role_relevance,review_status,label_action,corrected_fields,exclusion_reason,review_notes
official_high_impact_patch_impact_000012,dev_review_candidates,leadership_or_ownership,automation script,reduced_manual_work,"In my team course project, I took ownership of building the automation script that handled a repetitive data-processing step. We had a CSV file that needed to be checked and updated every day, and before the script, one of us was doing it manually, which took about 20 to 30 minutes each time and sometimes led to small mistakes.

My task was to write a Python script that read the CSV, validated the rows, and generated the updated output automatically. I also set it up to run on a schedule with cron so it would execute without someone needing to start it manually. I was responsible for the full flow of that piece: reading the input, handling bad data, writing the cleaned output, and making sure the script ran reliably on time.

I tested it with different CSV files, including ones with missing values and formatting issues, and I added simple checks so it would log errors instead of failing silently. By the end, the script reduced the manual work from about 20–30 minutes per run to just a quick review of the output, and it cut down the data-entry mistakes we were seeing before. It also gave us a working deliverable for the final demo, since we could show the scheduled automation running end to end.",4,5,5,4,4,5,4,5,5,4,4,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
official_high_impact_patch_impact_000033,dev_review_candidates,leadership_or_ownership,automation script,reduced_manual_work,"In our team course project, I took ownership of the automation script that handled a recurring CSV data update. The task was to replace a manual process where someone had to open the file, clean the data, and run the same checks every day.

My part was to build a Python script that read the CSV, validated the rows, removed obvious duplicates, and then wrote the cleaned output back in a consistent format. I also set it up to run automatically with cron so it would execute at a set time without anyone needing to remember it. I was responsible for the full flow of that task, from writing the script to testing it with sample files and making sure it ran correctly on schedule.

One specific issue I handled was making the script fail safely if the CSV was missing columns or had bad data. Instead of breaking halfway through, it would log the problem and skip the invalid rows so the rest of the file could still be processed. I also added a simple summary output so we could see how many rows were processed and how many were skipped.

As a result, we reduced the manual work from about 20 minutes per run to just a quick check of the output, and the script consistently processed around 500 rows without needing manual cleanup. That made the final demo smoother because the data update ran automatically and reliably during our presentation.",4,5,5,4,4,5,4,5,5,4,4,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
official_high_impact_patch_impact_000054,dev_review_candidates,leadership_or_ownership,automation script,reduced_manual_work,"In our team course project, I took ownership of the automation script that handled our CSV data processing and scheduled it to run with cron. My task was to make sure the script could take a raw CSV file, clean and validate the rows, and then generate a formatted output file that the rest of the team could use without doing manual edits.

I started by reviewing the input format and identifying the common issues we were seeing, like missing values, inconsistent date formats, and duplicate rows. Then I wrote the Python script to read the CSV, apply the validation rules, and log any rows that failed checks. I also set up the cron job so the script would run automatically at a set time each day, which meant we didn’t have to remember to trigger it manually during testing.

I owned that part end to end, so I also tested it with sample files and fixed a few edge cases, like empty lines and unexpected column order. By the time we finished, the script was processing about 200 rows in under a minute and reduced the manual cleanup we had been doing from around 20 minutes per file to just a quick review of the error log. That made our final demo much smoother because the data pipeline ran automatically and consistently.",4,5,4,4,4,5,4,5,4,4,4,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
official_high_impact_patch_impact_000005,dev_review_candidates,design_decision,data analysis dashboard,reduced_manual_work,"In our team course project, I worked on a data analysis dashboard that pulled in CSV files, processed the data in Python, and refreshed the results on a schedule with cron. My main task was to make sure the dashboard always showed the latest data without slowing down the rest of the app.

One technical decision I made was to separate the data processing step from the dashboard display step. At first, we were thinking about reading and cleaning the CSV files every time someone opened the dashboard. I suggested instead that we use a cron job to run a Python script every hour, clean the CSV data, and save the processed output to a separate file that the dashboard could read quickly.

I chose that approach because the raw CSV files were getting larger, and I didn’t want users waiting while the app parsed and cleaned everything on page load. With the scheduled script, the heavy work happened in the background, and the dashboard only had to load the prepared data.

I implemented the Python script to validate columns, handle missing values, and generate the summary metrics we needed. Then I set up the cron schedule and tested it with a few sample files to make sure the output stayed consistent. As a result, dashboard load time went from about 8 seconds to under 2 seconds during our final demo, and we reduced manual CSV refreshes from several times a day to just checking the scheduled job once. That made the project much easier to present and gave us a reliable workflow for the team.",4,4,4,4,4,5,4,4,4,4,4,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
official_high_impact_patch_impact_000047,dev_review_candidates,design_decision,data analysis dashboard,reduced_manual_work,"In our team course project, I worked on a data analysis dashboard that pulled in CSV files and showed basic trends for the rest of the team to review. My main task was to make sure the data refresh happened automatically instead of someone having to run the script by hand every day.

The technical decision I made was to use a small Python script with `cron` to schedule the CSV processing at a fixed time each morning. I considered making the dashboard read directly from the raw files every time it loaded, but I decided against that because the files could be messy and the dashboard would have to do extra work on each request. Instead, I set up a preprocessing step in Python that cleaned the CSV data, handled missing values, and wrote out a ready-to-use summary file before the dashboard opened.

That choice made the dashboard simpler and more reliable. For example, I added checks for empty rows and inconsistent date formats so the script wouldn’t fail halfway through. Then `cron` ran the script once a day, which meant the dashboard always had fresh data without manual steps.

The result was that our team went from manually updating the data every time we wanted to demo it to having it refresh automatically overnight. Before that, it took about 10 to 15 minutes of manual work each day to clean and reload the CSVs. After I set up the scheduled Python job, that dropped to basically zero, and we were able to complete our final demo without any data-refresh issues.",4,4,4,4,4,5,4,4,4,4,4,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
official_strong_patch_problem_solving_000170,dev_review_candidates,automation_ownership,CLI tool,official_strong_problem_solving_214,"I worked on a Python CLI tool for a course project that let users query and manage a small dataset through a REST API and a local SQL database. I personally owned the command-line workflow end to end, so I designed the argument parsing, the API integration layer, and the database read/write logic.

The main design decision I made was to keep the CLI thin and put the business logic in separate modules. I used `argparse` for commands like `search`, `add`, `update`, and `sync`, then had the CLI call a service layer that handled HTTP requests with `requests` and SQL operations with `sqlite3`. That separation made it easier to test each part independently and avoid mixing user input handling with data access.

One issue I ran into was inconsistent API responses. Some endpoints returned nested JSON, while others returned flat objects, so I added a normalization step before saving data to SQL. I also had to debug a bug where duplicate records were being inserted during sync. I traced that to missing uniqueness checks, then fixed it by adding a unique constraint in the table schema and an upsert-style check in the Python code before insert.

I wrote tests with `pytest` for the parser, API wrapper, and database functions. I used mocks for the REST calls so the tests didn’t depend on the network, and I added a few integration-style tests against a temporary SQLite database. In the end, the tool supported 6 commands, passed 20+ automated tests, and reduced manual data entry steps from several minutes to a single command sequence during demo runs.",5,5,5,5,4,5,5,5,5,5,4,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
official_strong_patch_clarity_000113,dev_review_candidates,teamwork_conflict,machine learning project,official_strong_clarity_157,"In my course project, I worked on a small machine learning system that predicted whether a customer would churn. It was a team project, but I personally owned the data-serving and debugging side of the backend. My main contribution was building the Python REST API that connected the trained model to the database and made predictions available to the frontend.

I implemented the `/predict` endpoint in Flask, which took customer features from the request, validated them, loaded the model, and returned the prediction plus probability. I also wrote the SQL queries to pull the latest customer records from PostgreSQL and made sure the feature columns matched exactly what the model expected during training. A big part of my work was debugging mismatches between the training pipeline and the API input. For example, we initially had issues where missing values and categorical encodings were handled differently in training versus inference, which caused inconsistent predictions. I traced that by comparing the raw API payload, the SQL output, and the transformed feature vector, then fixed it by centralizing the preprocessing logic so both training and inference used the same steps.

I added unit tests for the validation logic and API responses, plus integration tests that hit the endpoint with sample payloads and checked the returned JSON and status codes. I also tested edge cases like missing fields, invalid data types, and empty database results. After those fixes, the API became stable enough for the rest of the team to integrate with the frontend.

By the end, our project could take live customer data from the database, run it through the model, and return predictions through the REST API with consistent results. We reduced prediction errors caused by preprocessing issues to zero in our final test runs, and the full flow passed all of our test cases before submission.",5,5,4,5,4,5,5,5,4,5,4,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
official_high_impact_patch_impact_000004,dev_review_candidates,data_pipeline_story,data pipeline,measurable_performance_improvement,"In a course portfolio project, I built a small data pipeline in Python and SQL to move raw event data through a few processing steps and make it usable for reporting. The main problem was performance: the first version was taking too long because it was doing a lot of row-by-row work in Python and repeated database queries.

I personally owned the part where I profiled the pipeline and optimized the slowest steps. I started by using Python profiling tools and timing sections of the script so I could see exactly where the bottlenecks were. That showed me two main issues: first, the script was loading more data than it needed, and second, it was transforming records one at a time instead of in batches.

To fix that, I changed the extraction step to pull only the required columns and filter early in SQL before the data ever reached Python. Then I rewrote the transformation logic to use pandas vectorized operations instead of loops, and I replaced several small queries with a single joined query. I also added a staging step so the cleaned data could be written once and reused by the next step instead of recalculating it.

The result was that the pipeline runtime dropped from about 18 minutes to 6 minutes on the sample dataset we used for the project, which was a 67% reduction. It also cut down the manual re-runs I had to do during testing because the output became more consistent and the pipeline was easier to validate. For the final demo, I was able to show the full data flow from raw input to cleaned output within the time limit, and the report query ran fast enough to refresh on demand.",5,5,5,5,5,5,5,5,5,5,5,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
official_high_impact_patch_impact_000025,dev_review_candidates,data_pipeline_story,data pipeline,measurable_performance_improvement,"In a course portfolio project, I built a small data pipeline in Python and SQL to move raw CSV data through a few processing steps and into a cleaned reporting table. The main issue was performance: the first version was slow because it was doing row-by-row processing in Python and repeated SQL queries for each file.

I personally owned the profiling and optimization part of the pipeline. I started by timing each step and using Python profiling tools to see where the bottlenecks were. I found that most of the time was being spent in loops that cleaned and transformed records one at a time, plus a couple of inefficient SQL joins that were pulling more data than needed.

To fix it, I rewrote the transformation step to use vectorized pandas operations instead of Python loops, and I pushed more of the filtering and aggregation into SQL so the database did the heavy lifting. I also added a staging table so the data moved in a clear sequence: raw import, validation, transformation, then final load. That made the pipeline easier to debug and reduced the amount of repeated work.

As a result, the end-to-end run time dropped from about 18 minutes to 4 minutes for the same dataset, and the final load became much more reliable because I had fewer manual cleanup steps. I also added a simple QA check that compared row counts and key totals between stages, which caught two data issues during testing before the final demo.",4,4,5,4,5,5,4,4,5,4,5,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
official_high_impact_patch_impact_000046,dev_review_candidates,data_pipeline_story,data pipeline,measurable_performance_improvement,"In a course project, I built a small data pipeline in Python and SQL where I had to move raw CSV data through a few processing steps and load it into a reporting table. The main issue was performance: the first version was slow because it was doing row-by-row cleaning in Python and then inserting records one at a time into the database.

I personally owned the part of the pipeline that handled the transform-and-load step. I started by profiling the script with Python’s `cProfile` and timing each stage so I could see where the bottlenecks were. That showed most of the time was spent in repeated string cleanup, duplicate checks, and individual database inserts. Based on that, I rewrote the processing to use pandas vectorized operations for the cleaning step, moved the duplicate filtering into SQL with a `SELECT DISTINCT` and keyed joins, and switched the load step to batch inserts instead of single-row inserts. I also added indexes on the columns used for matching and filtering, because the profiling showed those lookups were slowing down the final query.

After those changes, the pipeline went from taking about 12 minutes on the sample dataset to about 2 minutes and 30 seconds, so roughly a 4x speedup. It also reduced manual cleanup because the output table was consistent enough that my final QA checklist passed without needing extra fixes. For me, the key part was using profiling data to decide what to change instead of guessing, and then verifying the result with before-and-after timings.",5,5,5,5,5,5,5,5,5,5,5,5,project_team_approved,confirmed,,,The existing scores are supported by the answer text and rubric.
