model,split,mean_exact_accuracy,mean_low_mid_high_macro_f1,mean_mae,weak_aspect_f1
majority,dev,0.3411,0.2372,0.9453,0.4667
majority,ood,0.2242,0.0956,1.9424,0.3333
majority,test,0.283,0.1852,1.1384,0.4422
tfidf_logistic_regression,dev,0.7318,0.6036,0.2917,0.8121
tfidf_logistic_regression,ood,0.3061,0.2621,0.7848,0.8636
tfidf_logistic_regression,test,0.6038,0.502,0.4182,0.7646
zero-shot,dev,0.7708,0.715,0.2474,0.9024
zero-shot,ood,0.6121,0.2792,0.4182,0.8753
zero-shot,test,0.6698,0.5789,0.3318,0.8163
few-shot,dev,0.7448,0.7193,0.2812,0.9412
few-shot,ood,0.5848,0.278,0.5121,0.8518
few-shot,test,0.6352,0.5808,0.3664,0.8092
encoder,dev,0.6823,0.6652,0.3516,0.8989
encoder,ood,0.2879,0.256,0.7152,0.8889
encoder,test,0.6777,0.5721,0.3428,0.8862
